Nome;Indirizzo;Città;Nazione;Prezzo;Fascia Di Prezzo;Tipo di Cucina;Longitude;Latitude;PrenotazioneOnline;Delivery;WebsiteUrl;Award;Servizi
The Table Kevin Fehling;Shanghaiallee 15, Hamburg, 20457, Germany;Hamburg; Germany;€€€€;100;Creative, International;10.0028597;53.5426398;SI;SI;https://thetable-hamburg.de/;3 Stars;Air conditioning,Counter dining
Aqua;Parkstraße 1, Wolfsburg, 38440, Germany;Wolfsburg; Germany;€€€€;100;Creative, Modern Cuisine;10.7899785;52.4328494;NO;NO;http://www.restaurant-aqua.com;3 Stars;Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access
JAN;Luisenstraße 27, Munich, 80333, Germany;Munich; Germany;€€€€;100;Creative, Modern Cuisine;11.5629878;48.1447975;NO;SI;https://jan-hartwig.com/;3 Stars;Interesting wine list
Restaurant Bareiss;Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany;Baiersbronn; Germany;€€€€;100;Classic French;8.3269876;48.5205845;SI;NO;https://www.bareiss.com/;3 Stars;Air conditioning,Car park,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access
Rutz;Chausseestraße 8, Berlin, 10115, Germany;Berlin; Germany;€€€€;100;Modern Cuisine, Creative;13.3860867;52.5283507;NO;NO;https://rutz-restaurant.de/;3 Stars;Air conditioning,Interesting wine list,Terrace
Victor's Fine Dining by christian bau;Schlossstraße 27, Perl, 66706, Germany;Perl; Germany;€€€€;100;Creative, Contemporary;6.3872109;49.5351732;SI;NO;https://www.victors-fine-dining.de/;3 Stars;Air conditioning,Car park,Interesting wine list,Notable sake list
schanz. restaurant.;Bahnhofstraße 8a, Piesport, 54498, Germany;Piesport; Germany;€€€€;100;Modern French, Creative;6.9266002;49.8776003;SI;NO;https://www.schanz-restaurant.de/de/;3 Stars;Air conditioning,Car park,Interesting wine list,Wheelchair access
Schwarzwaldstube;Tonbachstraße 237, Baiersbronn, 72270, Germany;Baiersbronn; Germany;€€€€;100;Classic French, Creative;8.3582803;48.5369113;NO;NO;https://www.traube-tonbach.de/restaurants-bar/schwarzwaldstube/;3 Stars;Air conditioning,Car park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access
La Table du Castellet;3001 route des Hauts-du-Camp, au Circuit Paul Ricard, Le Castellet, 83330, France;Le Castellet; France;€€€€;100;Creative;5.7838874;43.2499288;NO;SI;http://www.hotelducastellet.net/fr/restaurants/restaurant-gastronomique;3 Stars;Air conditioning,Car park,Garden or park,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access
Plénitude - Cheval Blanc Paris;8 quai du Louvre, Paris, 75001, France;Paris; France;€€€€;100;Creative;2.3421588;48.8588148;NO;NO;https://www.chevalblanc.com/fr/maison/paris/;3 Stars;Air conditioning,Great view,Interesting wine list,Valet parking,Wheelchair access
